dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,casual,registered,cnt,season_holiday
2011-12-26,Spring,2011,December,holiday,monday,weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",430,887,1317,Spring_holiday
2011-12-27,Spring,2011,December,not holiday,tuesday,not weekend,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",103,1059,1162,Spring_not holiday
2011-12-28,Spring,2011,December,not holiday,wednesday,not weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",255,2047,2302,Spring_not holiday
2011-12-29,Spring,2011,December,not holiday,thursday,not weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",254,2169,2423,Spring_not holiday
2011-12-30,Spring,2011,December,not holiday,friday,not weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",491,2508,2999,Spring_not holiday
2011-12-31,Spring,2011,December,not holiday,saturday,weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",665,1820,2485,Spring_not holiday
2012-01-01,Spring,2012,January,not holiday,sunday,weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",686,1608,2294,Spring_not holiday
2012-01-02,Spring,2012,January,holiday,monday,weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",244,1707,1951,Spring_holiday
2012-01-03,Spring,2012,January,not holiday,tuesday,not weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",89,2147,2236,Spring_not holiday
2012-01-04,Spring,2012,January,not holiday,wednesday,not weekend,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",95,2273,2368,Spring_not holiday
2012-01-05,Spring,2012,January,not holiday,thursday,not weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",140,3132,3272,Spring_not holiday
2012-01-06,Spring,2012,January,not holiday,friday,not weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",307,3791,4098,Spring_not holiday
2012-01-07,Spring,2012,January,not holiday,saturday,weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",1070,3451,4521,Spring_not holiday
2012-01-08,Spring,2012,January,not holiday,sunday,weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",599,2826,3425,Spring_not holiday
2012-01-09,Spring,2012,January,not holiday,monday,not weekend,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",106,2270,2376,Spring_not holiday
2012-01-10,Spring,2012,January,not holiday,tuesday,not weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",173,3425,3598,Spring_not holiday
2012-01-11,Spring,2012,January,not holiday,wednesday,not weekend,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",92,2085,2177,Spring_not holiday
2012-01-12,Spring,2012,January,not holiday,thursday,not weekend,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",269,3828,4097,Spring_not holiday
2012-01-13,Spring,2012,January,not holiday,friday,not weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",174,3040,3214,Spring_not holiday
2012-01-14,Spring,2012,January,not holiday,saturday,weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",333,2160,2493,Spring_not holiday
2012-01-15,Spring,2012,January,not holiday,sunday,weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",284,2027,2311,Spring_not holiday
2012-01-16,Spring,2012,January,holiday,monday,weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",217,2081,2298,Spring_holiday
2012-01-17,Spring,2012,January,not holiday,tuesday,not weekend,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",127,2808,2935,Spring_not holiday
2012-01-18,Spring,2012,January,not holiday,wednesday,not weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",109,3267,3376,Spring_not holiday
2012-01-19,Spring,2012,January,not holiday,thursday,not weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",130,3162,3292,Spring_not holiday
2012-01-20,Spring,2012,January,not holiday,friday,not weekend,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",115,3048,3163,Spring_not holiday
2012-01-21,Spring,2012,January,not holiday,saturday,weekend,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",67,1234,1301,Spring_not holiday
2012-01-22,Spring,2012,January,not holiday,sunday,weekend,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",196,1781,1977,Spring_not holiday
2012-01-23,Spring,2012,January,not holiday,monday,not weekend,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",145,2287,2432,Spring_not holiday
2012-01-24,Spring,2012,January,not holiday,tuesday,not weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",439,3900,4339,Spring_not holiday
2012-01-25,Spring,2012,January,not holiday,wednesday,not weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",467,3803,4270,Spring_not holiday
2012-01-26,Spring,2012,January,not holiday,thursday,not weekend,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",244,3831,4075,Spring_not holiday
2012-01-27,Spring,2012,January,not holiday,friday,not weekend,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",269,3187,3456,Spring_not holiday
2012-01-28,Spring,2012,January,not holiday,saturday,weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",775,3248,4023,Spring_not holiday
2012-01-29,Spring,2012,January,not holiday,sunday,weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",558,2685,3243,Spring_not holiday
2012-01-30,Spring,2012,January,not holiday,monday,not weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",126,3498,3624,Spring_not holiday
2012-01-31,Spring,2012,January,not holiday,tuesday,not weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",324,4185,4509,Spring_not holiday
2012-02-01,Spring,2012,February,not holiday,wednesday,not weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",304,4275,4579,Spring_not holiday
2012-02-02,Spring,2012,February,not holiday,thursday,not weekend,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",190,3571,3761,Spring_not holiday
2012-02-03,Spring,2012,February,not holiday,friday,not weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",310,3841,4151,Spring_not holiday
2012-02-04,Spring,2012,February,not holiday,saturday,weekend,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",384,2448,2832,Spring_not holiday
2012-02-05,Spring,2012,February,not holiday,sunday,weekend,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",318,2629,2947,Spring_not holiday
2012-02-06,Spring,2012,February,not holiday,monday,not weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",206,3578,3784,Spring_not holiday
2012-02-07,Spring,2012,February,not holiday,tuesday,not weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",199,4176,4375,Spring_not holiday
2012-02-08,Spring,2012,February,not holiday,wednesday,not weekend,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",109,2693,2802,Spring_not holiday
2012-02-09,Spring,2012,February,not holiday,thursday,not weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",163,3667,3830,Spring_not holiday
2012-02-10,Spring,2012,February,not holiday,friday,not weekend,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",227,3604,3831,Spring_not holiday
2012-02-11,Spring,2012,February,not holiday,saturday,weekend,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds",192,1977,2169,Spring_not holiday
2012-02-12,Spring,2012,February,not holiday,sunday,weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",73,1456,1529,Spring_not holiday
2012-02-13,Spring,2012,February,not holiday,monday,not weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",94,3328,3422,Spring_not holiday
2012-02-14,Spring,2012,February,not holiday,tuesday,not weekend,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",135,3787,3922,Spring_not holiday
2012-02-15,Spring,2012,February,not holiday,wednesday,not weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",141,4028,4169,Spring_not holiday
2012-02-16,Spring,2012,February,not holiday,thursday,not weekend,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",74,2931,3005,Spring_not holiday
2012-02-17,Spring,2012,February,not holiday,friday,not weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",349,3805,4154,Spring_not holiday
2012-02-18,Spring,2012,February,not holiday,saturday,weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",1435,2883,4318,Spring_not holiday
2012-02-19,Spring,2012,February,not holiday,sunday,weekend,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",618,2071,2689,Spring_not holiday
2012-02-20,Spring,2012,February,holiday,monday,weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",502,2627,3129,Spring_holiday
2012-02-21,Spring,2012,February,not holiday,tuesday,not weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",163,3614,3777,Spring_not holiday
2012-02-22,Spring,2012,February,not holiday,wednesday,not weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",394,4379,4773,Spring_not holiday
2012-02-23,Spring,2012,February,not holiday,thursday,not weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",516,4546,5062,Spring_not holiday
2012-02-24,Spring,2012,February,not holiday,friday,not weekend,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",246,3241,3487,Spring_not holiday
2012-02-25,Spring,2012,February,not holiday,saturday,weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",317,2415,2732,Spring_not holiday
2012-02-26,Spring,2012,February,not holiday,sunday,weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",515,2874,3389,Spring_not holiday
2012-02-27,Spring,2012,February,not holiday,monday,not weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",253,4069,4322,Spring_not holiday
2012-02-28,Spring,2012,February,not holiday,tuesday,not weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",229,4134,4363,Spring_not holiday
2012-02-29,Spring,2012,February,not holiday,wednesday,not weekend,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",65,1769,1834,Spring_not holiday
2012-03-01,Spring,2012,March,not holiday,thursday,not weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",325,4665,4990,Spring_not holiday
2012-03-02,Spring,2012,March,not holiday,friday,not weekend,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",246,2948,3194,Spring_not holiday
2012-03-03,Spring,2012,March,not holiday,saturday,weekend,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",956,3110,4066,Spring_not holiday
2012-03-04,Spring,2012,March,not holiday,sunday,weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",710,2713,3423,Spring_not holiday
2012-03-05,Spring,2012,March,not holiday,monday,not weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",203,3130,3333,Spring_not holiday
2012-03-06,Spring,2012,March,not holiday,tuesday,not weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",221,3735,3956,Spring_not holiday
2012-03-07,Spring,2012,March,not holiday,wednesday,not weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",432,4484,4916,Spring_not holiday
2012-03-08,Spring,2012,March,not holiday,thursday,not weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",486,4896,5382,Spring_not holiday
2012-03-09,Spring,2012,March,not holiday,friday,not weekend,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",447,4122,4569,Spring_not holiday
2012-03-10,Spring,2012,March,not holiday,saturday,weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",968,3150,4118,Spring_not holiday
2012-03-11,Spring,2012,March,not holiday,sunday,weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",1658,3253,4911,Spring_not holiday
2012-03-12,Spring,2012,March,not holiday,monday,not weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",838,4460,5298,Spring_not holiday
2012-03-13,Spring,2012,March,not holiday,tuesday,not weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",762,5085,5847,Spring_not holiday
2012-03-14,Spring,2012,March,not holiday,wednesday,not weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",997,5315,6312,Spring_not holiday
2012-03-15,Spring,2012,March,not holiday,thursday,not weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",1005,5187,6192,Spring_not holiday
2012-03-16,Spring,2012,March,not holiday,friday,not weekend,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",548,3830,4378,Spring_not holiday
2012-03-17,Spring,2012,March,not holiday,saturday,weekend,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",3155,4681,7836,Spring_not holiday
2012-03-18,Spring,2012,March,not holiday,sunday,weekend,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",2207,3685,5892,Spring_not holiday
2012-03-19,Spring,2012,March,not holiday,monday,not weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",982,5171,6153,Spring_not holiday
2012-03-20,Spring,2012,March,not holiday,tuesday,not weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",1051,5042,6093,Spring_not holiday
2012-03-21,Summer,2012,March,not holiday,wednesday,not weekend,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",1122,5108,6230,Summer_not holiday
2012-03-22,Summer,2012,March,not holiday,thursday,not weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",1334,5537,6871,Summer_not holiday
2012-03-23,Summer,2012,March,not holiday,friday,not weekend,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",2469,5893,8362,Summer_not holiday
2012-03-24,Summer,2012,March,not holiday,saturday,weekend,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",1033,2339,3372,Summer_not holiday
2012-03-25,Summer,2012,March,not holiday,sunday,weekend,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",1532,3464,4996,Summer_not holiday
2012-03-26,Summer,2012,March,not holiday,monday,not weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",795,4763,5558,Summer_not holiday
2012-03-27,Summer,2012,March,not holiday,tuesday,not weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",531,4571,5102,Summer_not holiday
2012-03-28,Summer,2012,March,not holiday,wednesday,not weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",674,5024,5698,Summer_not holiday
2012-03-29,Summer,2012,March,not holiday,thursday,not weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",834,5299,6133,Summer_not holiday
2012-03-30,Summer,2012,March,not holiday,friday,not weekend,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",796,4663,5459,Summer_not holiday
2012-03-31,Summer,2012,March,not holiday,saturday,weekend,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",2301,3934,6235,Summer_not holiday
2012-04-01,Summer,2012,April,not holiday,sunday,weekend,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",2347,3694,6041,Summer_not holiday
2012-04-02,Summer,2012,April,not holiday,monday,not weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",1208,4728,5936,Summer_not holiday
2012-04-03,Summer,2012,April,not holiday,tuesday,not weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",1348,5424,6772,Summer_not holiday
2012-04-04,Summer,2012,April,not holiday,wednesday,not weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",1058,5378,6436,Summer_not holiday
2012-04-05,Summer,2012,April,not holiday,thursday,not weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",1192,5265,6457,Summer_not holiday
2012-04-06,Summer,2012,April,not holiday,friday,not weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",1807,4653,6460,Summer_not holiday
2012-04-07,Summer,2012,April,not holiday,saturday,weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",3252,3605,6857,Summer_not holiday
2012-04-08,Summer,2012,April,not holiday,sunday,weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",2230,2939,5169,Summer_not holiday
2012-04-09,Summer,2012,April,not holiday,monday,not weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",905,4680,5585,Summer_not holiday
2012-04-10,Summer,2012,April,not holiday,tuesday,not weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",819,5099,5918,Summer_not holiday
2012-04-11,Summer,2012,April,not holiday,wednesday,not weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",482,4380,4862,Summer_not holiday
2012-04-12,Summer,2012,April,not holiday,thursday,not weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",663,4746,5409,Summer_not holiday
2012-04-13,Summer,2012,April,not holiday,friday,not weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",1252,5146,6398,Summer_not holiday
2012-04-14,Summer,2012,April,not holiday,saturday,weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",2795,4665,7460,Summer_not holiday
2012-04-15,Summer,2012,April,not holiday,sunday,weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",2846,4286,7132,Summer_not holiday
2012-04-16,Summer,2012,April,holiday,monday,weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",1198,5172,6370,Summer_holiday
2012-04-17,Summer,2012,April,not holiday,tuesday,not weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",989,5702,6691,Summer_not holiday
2012-04-18,Summer,2012,April,not holiday,wednesday,not weekend,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",347,4020,4367,Summer_not holiday
2012-04-19,Summer,2012,April,not holiday,thursday,not weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",846,5719,6565,Summer_not holiday
2012-04-20,Summer,2012,April,not holiday,friday,not weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",1340,5950,7290,Summer_not holiday
2012-04-21,Summer,2012,April,not holiday,saturday,weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",2541,4083,6624,Summer_not holiday
2012-04-22,Summer,2012,April,not holiday,sunday,weekend,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds",120,907,1027,Summer_not holiday
2012-04-23,Summer,2012,April,not holiday,monday,not weekend,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",195,3019,3214,Summer_not holiday
2012-04-24,Summer,2012,April,not holiday,tuesday,not weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",518,5115,5633,Summer_not holiday
2012-04-25,Summer,2012,April,not holiday,wednesday,not weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",655,5541,6196,Summer_not holiday
2012-04-26,Summer,2012,April,not holiday,thursday,not weekend,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",475,4551,5026,Summer_not holiday
2012-04-27,Summer,2012,April,not holiday,friday,not weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",1014,5219,6233,Summer_not holiday
2012-04-28,Summer,2012,April,not holiday,saturday,weekend,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",1120,3100,4220,Summer_not holiday
2012-04-29,Summer,2012,April,not holiday,sunday,weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",2229,4075,6304,Summer_not holiday
2012-04-30,Summer,2012,April,not holiday,monday,not weekend,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",665,4907,5572,Summer_not holiday
2012-05-01,Summer,2012,May,not holiday,tuesday,not weekend,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",653,5087,5740,Summer_not holiday
2012-05-02,Summer,2012,May,not holiday,wednesday,not weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",667,5502,6169,Summer_not holiday
2012-05-03,Summer,2012,May,not holiday,thursday,not weekend,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",764,5657,6421,Summer_not holiday
2012-05-04,Summer,2012,May,not holiday,friday,not weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",1069,5227,6296,Summer_not holiday
2012-05-05,Summer,2012,May,not holiday,saturday,weekend,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",2496,4387,6883,Summer_not holiday
2012-05-06,Summer,2012,May,not holiday,sunday,weekend,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",2135,4224,6359,Summer_not holiday
2012-05-07,Summer,2012,May,not holiday,monday,not weekend,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",1008,5265,6273,Summer_not holiday
2012-05-08,Summer,2012,May,not holiday,tuesday,not weekend,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",738,4990,5728,Summer_not holiday
2012-05-09,Summer,2012,May,not holiday,wednesday,not weekend,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",620,4097,4717,Summer_not holiday
2012-05-10,Summer,2012,May,not holiday,thursday,not weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",1026,5546,6572,Summer_not holiday
2012-05-11,Summer,2012,May,not holiday,friday,not weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",1319,5711,7030,Summer_not holiday
2012-05-12,Summer,2012,May,not holiday,saturday,weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",2622,4807,7429,Summer_not holiday
2012-05-13,Summer,2012,May,not holiday,sunday,weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",2172,3946,6118,Summer_not holiday
2012-05-14,Summer,2012,May,not holiday,monday,not weekend,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",342,2501,2843,Summer_not holiday
2012-05-15,Summer,2012,May,not holiday,tuesday,not weekend,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",625,4490,5115,Summer_not holiday
2012-05-16,Summer,2012,May,not holiday,wednesday,not weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",991,6433,7424,Summer_not holiday
2012-05-17,Summer,2012,May,not holiday,thursday,not weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",1242,6142,7384,Summer_not holiday
2012-05-18,Summer,2012,May,not holiday,friday,not weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",1521,6118,7639,Summer_not holiday
2012-05-19,Summer,2012,May,not holiday,saturday,weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",3410,4884,8294,Summer_not holiday
2012-05-20,Summer,2012,May,not holiday,sunday,weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",2704,4425,7129,Summer_not holiday
2012-05-21,Summer,2012,May,not holiday,monday,not weekend,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",630,3729,4359,Summer_not holiday
2012-05-22,Summer,2012,May,not holiday,tuesday,not weekend,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",819,5254,6073,Summer_not holiday
2012-05-23,Summer,2012,May,not holiday,wednesday,not weekend,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",766,4494,5260,Summer_not holiday
2012-05-24,Summer,2012,May,not holiday,thursday,not weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",1059,5711,6770,Summer_not holiday
2012-05-25,Summer,2012,May,not holiday,friday,not weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",1417,5317,6734,Summer_not holiday
2012-05-26,Summer,2012,May,not holiday,saturday,weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",2855,3681,6536,Summer_not holiday
2012-05-27,Summer,2012,May,not holiday,sunday,weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",3283,3308,6591,Summer_not holiday
2012-05-28,Summer,2012,May,holiday,monday,weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",2557,3486,6043,Summer_holiday
2012-05-29,Summer,2012,May,not holiday,tuesday,not weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",880,4863,5743,Summer_not holiday
2012-05-30,Summer,2012,May,not holiday,wednesday,not weekend,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",745,6110,6855,Summer_not holiday
2012-05-31,Summer,2012,May,not holiday,thursday,not weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",1100,6238,7338,Summer_not holiday
2012-06-01,Summer,2012,June,not holiday,friday,not weekend,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",533,3594,4127,Summer_not holiday
2012-06-02,Summer,2012,June,not holiday,saturday,weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",2795,5325,8120,Summer_not holiday
2012-06-03,Summer,2012,June,not holiday,sunday,weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",2494,5147,7641,Summer_not holiday
2012-06-04,Summer,2012,June,not holiday,monday,not weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",1071,5927,6998,Summer_not holiday
2012-06-05,Summer,2012,June,not holiday,tuesday,not weekend,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",968,6033,7001,Summer_not holiday
2012-06-06,Summer,2012,June,not holiday,wednesday,not weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",1027,6028,7055,Summer_not holiday
2012-06-07,Summer,2012,June,not holiday,thursday,not weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",1038,6456,7494,Summer_not holiday
2012-06-08,Summer,2012,June,not holiday,friday,not weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",1488,6248,7736,Summer_not holiday
2012-06-09,Summer,2012,June,not holiday,saturday,weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",2708,4790,7498,Summer_not holiday
2012-06-10,Summer,2012,June,not holiday,sunday,weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",2224,4374,6598,Summer_not holiday
2012-06-11,Summer,2012,June,not holiday,monday,not weekend,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",1017,5647,6664,Summer_not holiday
2012-06-12,Summer,2012,June,not holiday,tuesday,not weekend,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",477,4495,4972,Summer_not holiday
2012-06-13,Summer,2012,June,not holiday,wednesday,not weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",1173,6248,7421,Summer_not holiday
2012-06-14,Summer,2012,June,not holiday,thursday,not weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",1180,6183,7363,Summer_not holiday
2012-06-15,Summer,2012,June,not holiday,friday,not weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",1563,6102,7665,Summer_not holiday
2012-06-16,Summer,2012,June,not holiday,saturday,weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",2963,4739,7702,Summer_not holiday
2012-06-17,Summer,2012,June,not holiday,sunday,weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",2634,4344,6978,Summer_not holiday
2012-06-18,Summer,2012,June,not holiday,monday,not weekend,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",653,4446,5099,Summer_not holiday
2012-06-19,Summer,2012,June,not holiday,tuesday,not weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",968,5857,6825,Summer_not holiday
2012-06-20,Summer,2012,June,not holiday,wednesday,not weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",872,5339,6211,Summer_not holiday
2012-06-21,Fall,2012,June,not holiday,thursday,not weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",778,5127,5905,Fall_not holiday
2012-06-22,Fall,2012,June,not holiday,friday,not weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",964,4859,5823,Fall_not holiday
2012-06-23,Fall,2012,June,not holiday,saturday,weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",2657,4801,7458,Fall_not holiday
